antecedents,consequents,antecedent support,consequent support,support支持度,confidence置信度,lift提升度,leverage,conviction,antecedents_len
frozenset({'aaa'}),frozenset({'bbb'}),1.0,0.5,0.5,0.5,1.0,0.0,1.0,1
frozenset({'bbb'}),frozenset({'aaa'}),0.5,1.0,0.5,1.0,1.0,0.0,inf,1
frozenset({'aaa'}),frozenset({'ccc'}),1.0,0.25,0.25,0.25,1.0,0.0,1.0,1
frozenset({'ccc'}),frozenset({'aaa'}),0.25,1.0,0.25,1.0,1.0,0.0,inf,1
frozenset({'aaa'}),frozenset({'ddd'}),1.0,0.25,0.25,0.25,1.0,0.0,1.0,1
frozenset({'ddd'}),frozenset({'aaa'}),0.25,1.0,0.25,1.0,1.0,0.0,inf,1
frozenset({'aaa'}),frozenset({'eee'}),1.0,0.5,0.5,0.5,1.0,0.0,1.0,1
frozenset({'eee'}),frozenset({'aaa'}),0.5,1.0,0.5,1.0,1.0,0.0,inf,1
frozenset({'fff'}),frozenset({'aaa'}),0.75,1.0,0.75,1.0,1.0,0.0,inf,1
frozenset({'aaa'}),frozenset({'fff'}),1.0,0.75,0.75,0.75,1.0,0.0,1.0,1
frozenset({'bbb'}),frozenset({'ccc'}),0.5,0.25,0.25,0.5,2.0,0.125,1.5,1
frozenset({'ccc'}),frozenset({'bbb'}),0.25,0.5,0.25,1.0,2.0,0.125,inf,1
frozenset({'bbb'}),frozenset({'eee'}),0.5,0.5,0.25,0.5,1.0,0.0,1.0,1
frozenset({'eee'}),frozenset({'bbb'}),0.5,0.5,0.25,0.5,1.0,0.0,1.0,1
frozenset({'fff'}),frozenset({'bbb'}),0.75,0.5,0.5,0.6666666666666666,1.3333333333333333,0.125,1.4999999999999998,1
frozenset({'bbb'}),frozenset({'fff'}),0.5,0.75,0.5,1.0,1.3333333333333333,0.125,inf,1
frozenset({'ccc'}),frozenset({'eee'}),0.25,0.5,0.25,1.0,2.0,0.125,inf,1
frozenset({'eee'}),frozenset({'ccc'}),0.5,0.25,0.25,0.5,2.0,0.125,1.5,1
frozenset({'fff'}),frozenset({'ccc'}),0.75,0.25,0.25,0.3333333333333333,1.3333333333333333,0.0625,1.1249999999999998,1
frozenset({'ccc'}),frozenset({'fff'}),0.25,0.75,0.25,1.0,1.3333333333333333,0.0625,inf,1
frozenset({'eee'}),frozenset({'ddd'}),0.5,0.25,0.25,0.5,2.0,0.125,1.5,1
frozenset({'ddd'}),frozenset({'eee'}),0.25,0.5,0.25,1.0,2.0,0.125,inf,1
